stream,title,relevance_score,decision,reason,matched_supplementary_title,title_similarity
formal-database-rule-pass,ActPlane: Programmable OS-Level Policy Enforcement for Agent Harnesses,29,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,MCP-Secure: A Runtime Access Control Layer for Privilege-Aware LLM Agent Tooling,26,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Proof of Execution: Runtime Verification for Governed AI Agent Actions,25,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,VIGIL: Runtime Enforcement of Behavioral Specifications in AI Agent Skills,24,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Alignment Contracts for Agentic Security Systems,22,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Runtime Protection Practice for LLM Agent Security: An On-Demand Behavioral Sandbox Approach,22,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,NiyamAI - An Intent-Bound AI Agent with Cryptographically Verifiable Guardrails using Zero-Knowledge Proofs,22,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Agent Safety Should Be a Runtime Contract,21,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,AQUILES: A Production Architecture for Hybrid Agents with Deterministic Decisions in Regulated Domains — The HADD Paradigm: Closing the Determinism–Expressiveness Gap in LLM-Based Agent Systems,21,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,From Prompts to Contracts: Harness Engineering for Auditable Enterprise LLM Agents,21,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,ClawVM: Harness-Managed Virtual Memory for Stateful Tool-Using LLM Agents,21,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Runtime Policy Enforcement for MCP-Based LLM Agents,20,include,Peer-reviewed runtime PEP with public replication repository,Runtime Policy Enforcement for MCP-Based LLM Agents,1.0
formal-database-rule-pass,Context Is Not Authority: Structured Runtime Governance for Financial Market Agents,20,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Agent Behavioral Contracts: Formal Specification and Runtime Enforcement for Reliable Autonomous AI Agents,19,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Agent libOS: A Runtime Substrate for Capability-Controlled Self-Evolving LLM Agents,19,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,From Static Prediction to Mindful Machines: A Paradigm Shift in Distributed AI Systems,19,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,The Granularity Mismatch in Agent Security: Argument-Level Provenance Solves Enforcement and Isolates the LLM Reasoning Bottleneck,19,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Governance by Construction for Generalist Agents,19,include,Published governance checkpoints with public implementation,Governance by Construction for Generalist Agents,1.0
formal-database-rule-pass,Cryptographic Runtime Governance for Autonomous AI Systems: The Aegis Architecture for Verifiable Policy Enforcement,18,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Position: A Three-Layer Probabilistic Assume-Guarantee Architecture Is Structurally Required for Safe LLM Agent Deployment,18,exclude,Conceptual/survey record without a directly auditable enforcement artifact,,
formal-database-rule-pass,Formal Skill: Programmable Runtime Skills for Efficient and Accurate LLM Agents,18,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,SecureClaw: Clawing Back Control of LLM Agents,18,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,VeriGuard: Enhancing LLM Agent Safety via Verified Code Generation,17,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Governance-in-the-Loop: Runtime Policy Enforcement for Autonomous and Distributed AI Systems,17,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Prompt Flow Integrity to Prevent Privilege Escalation in LLM Agents,17,include,Privilege and flow enforcement with public artifact,Prompt Flow Integrity to Prevent Privilege Escalation in LLM Agents,1.0
formal-database-rule-pass,CARE: Pre-Execution Command Verification for Shell-Executing LLM Agents,17,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,The Causal Impact of Tool Affordance on Safety Alignment in LLM Agents,17,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Agentao: A Governed Local-First Runtime for Tool-Using LLM Agents,17,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Solver-Aided Verification of Policy Compliance in Tool-Augmented LLM Agents,16,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,Towards Enforcing Company Policy Adherence in Agentic Workflows,16,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
formal-database-rule-pass,"A Review of TRiSM Frameworks in Artificial Intelligence Systems: Fundamentals, Taxonomy, Use Cases, Key Challenges and Future Directions",16,exclude,Conceptual/survey record without a directly auditable enforcement artifact,,
formal-database-rule-pass,Graph-Symbolic Policy Enforcement and Control (G-SPEC): A Neuro-Symbolic Framework for Safe Agentic AI in 5G Autonomous Networks,16,exclude,"No sufficiently direct, quality-verified harness enforcement contribution after metadata/abstract assessment",,
